category,text
HR,How can I update my personal information?
Technical,I cannot reset my password
General,Can you help me understand the service?
Technical,The dashboard is showing an error Please resolve this.
Billing,I was charged twice for my subscription Please help.
General,I would like to know more about the product Please help.
HR,How can I update my personal information? Please resolve this.
HR,I need help with my employee benefits I need assistance.
Technical,There is a technical problem with my account Please help.
Technical,The app is not responding
HR,I have a question regarding employee insurance This is urgent.
Technical,The website is not loading This is urgent.
General,Can you explain how the platform works? Can you look into this?
HR,Where can I download my HR documents?
Billing,My credit card payment failed Can you look into this?
Billing,Why was I charged this month?
HR,How do I update my bank details?
Technical,The mobile app keeps crashing Can you look into this?
Billing,The payment is showing twice This is urgent.
General,Where can I find the documentation?
HR,I need a copy of my employment letter I need assistance.
General,Where can I find the documentation? Please resolve this.
General,How do I get started? Please help.
Technical,The app is not responding This is urgent.
Billing,My payment was declined Please resolve this.
Technical,The system stopped working suddenly Please help.
General,I would like to know more about the product
Billing,The payment is showing twice Please help.
General,Can you tell me more about your services? Can you look into this?
HR,I need to contact the HR department Can you look into this?
HR,Where can I find the employee handbook?
Technical,The mobile app keeps crashing I need assistance.
General,I have a question Can you assist?
General,I have a question
HR,Can you explain the company leave policy? Please resolve this.
Billing,I was charged after cancelling my subscription Can you look into this?
General,Can you explain how the platform works? Please resolve this.
HR,I have a question about my salary slip
Technical,The login page is not working
Billing,Why was I charged this month? Please help.
General,Can someone help me?
General,Where can I find more information? Can you assist?
HR,How do I apply for parental leave?
General,I need some assistance This is urgent.
Billing,My credit card payment failed Please resolve this.
HR,I need information about health benefits This is urgent.
Technical,The login page is not working Please help.
HR,I want to update my emergency contact Can you assist?
General,I need some assistance
HR,I have a question about my payslip Can you assist?
Billing,I need a copy of my invoice Can you look into this?
Billing,How can I change my payment method? Please help.
General,Where can I find the user guide? Can you assist?
Technical,I cannot upload my document
HR,How do I apply for parental leave? This is urgent.
General,I have a question Please resolve this.
Billing,I want to update my billing information
Technical,There is a technical problem with my account
Billing,I want to update my billing information Can you look into this?
Technical,I cannot upload my document This is urgent.
Billing,There is an unexpected charge on my account Please help.
Technical,The application crashes when I try to login Please help.
Technical,The software stopped working after the update Can you assist?
Technical,I am getting an error when opening the app Please resolve this.
Billing,Please explain this transaction on my account Please resolve this.
Technical,The website is not loading Please resolve this.
General,Who should I contact for help?
General,I need support with my account Can you look into this?
Technical,The mobile app keeps crashing
Billing,Please explain this transaction on my account
General,I need assistance with something
General,I have a question about the service Please resolve this.
General,Can someone help me? Can you look into this?
HR,How can I change my employee information? Can you assist?
General,How can I contact customer support?
General,I need help with my account Please resolve this.
General,I need some assistance Can you look into this?
Technical,The server appears to be down I need assistance.
Billing,I was charged twice for my subscription Can you look into this?
HR,I want to know about the leave policy
Billing,Why did my subscription renewal cost more? Can you look into this?
HR,How can I request time off? Can you look into this?
General,Where can I find the user guide?
Billing,Please explain this transaction on my account Please help.
General,I need assistance with something Please help.
Technical,The page keeps timing out
General,I would like more information about the platform Please resolve this.
Billing,Please help me with my refund
Technical,The app is not responding I need assistance.
HR,How many vacation days do employees receive? Can you assist?
Technical,The software stopped working after the update Please resolve this.
Billing,I need a copy of my invoice Please resolve this.
Technical,There is a technical problem with my account Can you look into this?
Technical,I cannot download my report
HR,I need a copy of my employment letter This is urgent.
Technical,The page keeps timing out Can you look into this?
HR,I need to contact the HR department Please resolve this.
General,Who should I contact for help? This is urgent.
HR,I want to know about the leave policy Please resolve this.
Billing,Can I get a refund for this payment? I need assistance.
Billing,How can I change my payment method?
HR,How do I update my bank details? Please resolve this.
Technical,The application is extremely slow Can you look into this?
General,I need support with my account This is urgent.
HR,Can you help with my employment records? Can you look into this?
HR,I have a question about my payslip
General,How do I get started? Can you look into this?
HR,I need help with my employee benefits Can you assist?
Billing,I was charged after cancelling my subscription Can you assist?
Billing,I need help with my monthly bill
HR,I have a question about my salary slip This is urgent.
Billing,Can I get a refund for this payment? Please resolve this.
General,I have a question about the service
Billing,My invoice shows an incorrect amount This is urgent.
Billing,There is an unexpected charge on my account
Billing,The subscription price is incorrect
General,How do I get started?
Billing,My invoice has the wrong billing address Please help.
Technical,I cannot access the dashboard Can you assist?
General,I have a question about the service Please help.
HR,Where can I find the employee handbook? Please help.
Billing,My credit card payment failed
Billing,Please help me with my refund Please help.
Billing,I want to cancel my paid subscription I need assistance.
Technical,The system stopped working suddenly
HR,How can I change my employee information?
General,Please provide more information Please help.
HR,I need information about health benefits
Technical,The system stopped working suddenly This is urgent.
Technical,The API is returning an error
Billing,I have a question about my payment Can you assist?
Technical,I cannot download my report This is urgent.
HR,Can you explain the company leave policy?
HR,Can you explain the company leave policy? This is urgent.
Technical,The application is extremely slow
HR,How do I update my bank details? This is urgent.
Billing,I need help with my monthly bill Please resolve this.
HR,I have a question about my payslip This is urgent.
Technical,The server appears to be down
Billing,Can I get a refund for this payment?
Billing,Please help me with my refund I need assistance.
Billing,The subscription price is incorrect Can you assist?
General,Can you help me understand the service? Can you look into this?
Billing,My payment was declined Please help.
Billing,I want to cancel my paid subscription Can you assist?
General,Who should I contact for help? Please help.
Technical,The dashboard is showing an error
HR,I want to update my emergency contact
Billing,The subscription price is incorrect I need assistance.
Technical,The API is returning an error This is urgent.
General,Where can I find more information?
General,I need help with my account I need assistance.
Technical,The website gives me a 500 error This is urgent.
Technical,The website gives me a 500 error I need assistance.
Technical,The website gives me a 500 error
HR,Can you help with my employment records? Please resolve this.
General,I have a general question Can you assist?
General,I need assistance with something Please resolve this.
General,Can you explain how the platform works?
General,I need help with my account
Technical,The server appears to be down Please help.
General,Can you tell me more about your services? Please help.
Billing,I want to update my billing information Can you assist?
Billing,I was charged after cancelling my subscription
General,How can I contact customer support? I need assistance.
HR,I need information about health benefits Please help.
Billing,I want to cancel my paid subscription
HR,I want to know about the leave policy Can you assist?
Billing,The payment is showing twice
Billing,My invoice shows an incorrect amount
HR,Can you help with my employment records?
HR,How do I apply for parental leave? I need assistance.
HR,I have a question regarding employee insurance
Technical,My account page keeps freezing Can you assist?
Technical,The API is returning an error Can you assist?
Billing,My payment was declined
Billing,Why was I charged this month? Can you assist?
Billing,Why did my subscription renewal cost more?
HR,What is the holiday policy?
General,I have a general question
Technical,My account page keeps freezing
